date,ticker,in_predicted_top,in_actual_top,in_predicted_bottom,in_actual_bottom,y_pred,y_true,model
2025-10-31,DPLM.L,1,0,0,0,0.0110862813956979,-0.0258467521235391,Ridge daily_ohlcv
2025-10-31,EDV.L,1,1,0,0,0.0283331483349643,0.1353285131910482,Ridge daily_ohlcv
2025-10-31,ENT.L,1,0,0,0,0.0190711471712218,-0.0194346904972844,Ridge daily_ohlcv
2025-10-31,EXPN.L,0,0,0,0,0.0061935642108953,-0.0631519808654312,Ridge daily_ohlcv
2025-10-31,EZJ.L,0,0,0,0,0.0053194556556311,0.0307533342069985,Ridge daily_ohlcv
2025-10-31,FCIT.L,0,0,1,0,-0.0066441807945741,-0.0008084648001508,Ridge daily_ohlcv
2025-10-31,FRES.L,1,1,0,0,0.0624032521778222,0.1854185418541856,Ridge daily_ohlcv
2025-10-31,GAW.L,0,1,0,0,0.0009416563106825,0.2184556710212521,Ridge daily_ohlcv
2025-10-31,GSK.L,0,0,0,0,0.0049664288141113,0.0059854966784873,Ridge daily_ohlcv
2025-10-31,HIK.L,0,0,0,1,0.002564605806977,-0.1549755333208803,Ridge daily_ohlcv
2025-10-31,HLMA.L,0,0,0,0,-0.0008589971247203,0.0039480813056054,Ridge daily_ohlcv
2025-10-31,HLN.L,0,0,0,0,0.0030567570650391,0.0474441991144676,Ridge daily_ohlcv
2025-10-31,HSBA.L,0,0,0,0,0.0027023693892505,0.0064640557410682,Ridge daily_ohlcv
2025-10-31,HSX.L,0,0,0,0,0.0058886308329075,-0.0254545454545452,Ridge daily_ohlcv
2025-10-31,HWDN.L,0,0,0,0,0.0005590402017382,-0.0260567772004364,Ridge daily_ohlcv
2025-10-31,ICG.L,1,1,0,0,0.0132225338483193,0.0750907039549992,Ridge daily_ohlcv
2025-10-31,IHG.L,0,1,0,0,0.0046524980344303,0.0895344010536205,Ridge daily_ohlcv
2025-10-31,III.L,0,0,0,1,-0.0012445808987287,-0.2821919547498797,Ridge daily_ohlcv
2025-10-31,IMB.L,0,1,0,0,0.0108010309224218,0.0606255183712298,Ridge daily_ohlcv
2025-10-31,IMI.L,0,0,1,0,-0.0205652179681301,0.0192629431254494,Ridge daily_ohlcv
2025-10-31,INF.L,0,0,1,0,-0.0026431518837852,-0.0082661708006879,Ridge daily_ohlcv
2025-10-31,ITRK.L,0,0,1,1,-0.0076954088099216,-0.0866732477788746,Ridge daily_ohlcv
2025-10-31,JD.L,0,0,0,1,0.0072928665317232,-0.1708520939773069,Ridge daily_ohlcv
2025-10-31,KGF.L,0,0,1,0,-0.0096675848390136,-0.0103626354143464,Ridge daily_ohlcv
2025-10-31,LAND.L,0,0,1,0,-0.0084698884427127,-0.0262466773901817,Ridge daily_ohlcv
2025-10-31,LGEN.L,0,0,0,0,0.0034395609167842,0.0382674126490487,Ridge daily_ohlcv
2025-10-31,LLOY.L,0,1,0,0,-0.0016736412535144,0.0792544956073002,Ridge daily_ohlcv
2025-10-31,LMP.L,0,0,1,0,-0.0052676255991056,-0.0103566888416678,Ridge daily_ohlcv
2025-10-31,LSEG.L,0,0,0,0,0.004424209789561,-0.0609318922609868,Ridge daily_ohlcv
2025-10-31,MKS.L,0,0,0,1,-0.0014161074065183,-0.1259121165845973,Ridge daily_ohlcv
2025-10-31,MNDI.L,1,0,0,0,0.0118436480950979,0.0209362176146719,Ridge daily_ohlcv
2025-10-31,MNG.L,0,0,0,0,0.0060829096108839,0.0345613855862667,Ridge daily_ohlcv
2025-10-31,MRO.L,0,0,0,0,0.0093614589492185,-0.0489130615078063,Ridge daily_ohlcv
2025-10-31,NG.L,0,0,1,0,-0.0070495893969748,0.0058440326856306,Ridge daily_ohlcv
2025-10-31,NWG.L,0,1,0,0,0.0012062064142343,0.0825342815936742,Ridge daily_ohlcv
2025-10-31,NXT.L,0,0,0,0,0.0009725806039927,-0.0125874635115416,Ridge daily_ohlcv
2025-10-31,PCT.L,0,0,0,0,0.0103007199190296,-0.0440713536201472,Ridge daily_ohlcv
2025-10-31,PRU.L,0,0,0,0,0.0080781748288497,0.0364928523831906,Ridge daily_ohlcv
2025-10-31,PSH.L,0,0,0,0,0.006197703913905,0.018707132885269,Ridge daily_ohlcv
2025-10-31,PSN.L,0,1,0,0,0.0004387959947531,0.1042183622828782,Ridge daily_ohlcv
2025-10-31,PSON.L,0,0,0,0,0.0009712811206078,-0.0588678808030544,Ridge daily_ohlcv
